Date,Open,High,Low,Close,Volume,EMA20,EMA50,EMA200,RSI,MACD,MACD_Signal,ROC,ATR,BB_Width,Vol_MA,Vol_Ratio,Return_1D,Return_5D,Return_10D,Target
2020-01-28,671.77,672.39,651.73,655.36,24532236,-0.0331,-0.0312,-0.0272,56.371,-0.0016,0.0028,-3.7693,0.0203,0.0595,17761353.15,1.3812,-0.0231,-0.0405,-0.0377,1
2020-01-29,656.39,665.45,651.93,658.97,24746565,-0.0252,-0.0248,-0.0216,57.751,-0.0036,0.0015,-2.887,0.0199,0.0652,18298458.0,1.3524,0.0055,-0.0349,-0.0289,0
2020-01-30,658.59,658.9,641.22,642.89,22402689,-0.0445,-0.0468,-0.0451,50.1427,-0.0073,-0.0002,-6.1228,0.0215,0.0838,18533076.65,1.2088,-0.0244,-0.0544,-0.0612,0
2020-01-31,647.01,647.12,626.62,628.6,34750310,-0.0599,-0.0655,-0.0657,44.5284,-0.012,-0.0026,-10.7115,0.0233,0.1098,19221357.25,1.8079,-0.0222,-0.0722,-0.1071,0
2020-02-03,610.01,623.39,606.96,616.96,30712290,-0.0704,-0.0798,-0.0822,40.546,-0.0173,-0.0056,-9.5831,0.0247,0.1399,19531012.9,1.5725,-0.0185,-0.0803,-0.0958,1
2020-02-04,623.41,637.88,622.43,635.17,25383901,-0.0391,-0.0507,-0.0546,48.3313,-0.0181,-0.0079,-7.0084,0.0253,0.1451,19966026.85,1.2714,0.0295,-0.0308,-0.0701,1
2020-02-05,638.95,646.92,636.9,645.01,18472100,-0.0219,-0.0346,-0.0396,51.9898,-0.0175,-0.0098,-5.5332,0.0253,0.1469,20087236.75,0.9196,0.0155,-0.0212,-0.0553,1
2020-02-06,647.5,653.25,641.27,649.15,15538577,-0.0142,-0.0274,-0.0331,53.4821,-0.0164,-0.011,-4.5227,0.0241,0.1451,20115028.5,0.7725,0.0064,0.0097,-0.0452,0
2020-02-07,646.12,646.72,636.01,638.4,12209212,-0.0277,-0.0418,-0.0486,49.2051,-0.017,-0.0124,-5.7768,0.0219,0.1487,20101571.15,0.6074,-0.0166,0.0156,-0.0578,1
2020-02-10,635.88,643.67,628.07,639.26,15142476,-0.0239,-0.039,-0.0469,49.5526,-0.017,-0.0133,-4.7104,0.0224,0.1482,19944575.85,0.7592,0.0013,0.0361,-0.0471,1
