Date,Open,High,Low,Close,Volume,EMA20,EMA50,EMA200,RSI,MACD,MACD_Signal,ROC,ATR,BB_Width,Vol_MA,Vol_Ratio,Return_1D,Return_5D,Return_10D,HL_Spread,Close_Position,RSI_Lag_1,RSI_Lag_2,Return_1D_Lag_1,Return_1D_Lag_2,MACD_Lag_1,MACD_Lag_2,Vol_Ratio_Lag_1,Vol_Ratio_Lag_2,Target
2020-01-30,84.65,84.65,80.16,80.91,57894,-0.0705,-0.0934,-0.1104,37.0326,-0.0273,-0.0174,-12.8313,0.0516,0.202,279287.45,0.2073,-0.0264,-0.0385,-0.1283,0.0555,0.167,40.6101,43.6495,-0.02,0.0125,-0.023,-0.0204,0.1534,0.3212,1
2020-01-31,82.25,82.55,80.26,80.96,30159,-0.0637,-0.0895,-0.1089,37.1687,-0.0298,-0.0199,-11.3932,0.0516,0.2142,250944.6,0.1202,0.0006,-0.0442,-0.1139,0.0283,0.3057,37.0326,40.6101,-0.0264,-0.02,-0.0273,-0.023,0.2073,0.1534,0
2020-02-03,78.52,79.71,73.93,74.68,173715,-0.1249,-0.1549,-0.1766,28.7608,-0.0407,-0.0254,-16.3062,0.0579,0.2764,256447.05,0.6774,-0.0776,-0.1083,-0.1631,0.0774,0.1298,37.1687,37.0326,0.0006,-0.0264,-0.0298,-0.0273,0.1202,0.2073,1
2020-02-04,74.93,78.52,74.93,76.48,90536,-0.0949,-0.1299,-0.1554,33.4104,-0.0439,-0.0286,-15.0033,0.056,0.2958,254111.65,0.3563,0.0241,-0.0981,-0.15,0.0469,0.4318,28.7608,37.1687,-0.0776,0.0006,-0.0407,-0.0298,0.6774,0.1202,1
2020-02-05,76.52,78.52,75.88,76.97,50784,-0.0813,-0.12,-0.1487,34.6606,-0.0459,-0.0319,-6.8724,0.0559,0.3134,253914.55,0.2,0.0064,-0.0738,-0.0687,0.0343,0.4129,33.4104,28.7608,0.0241,-0.0776,-0.0439,-0.0407,0.3563,0.6774,1
2020-02-06,80.76,83.7,77.72,78.92,168025,-0.0528,-0.0943,-0.126,39.5265,-0.044,-0.0337,-6.2151,0.0562,0.2953,146854.1,1.1442,0.0253,-0.0246,-0.0622,0.0758,0.2007,34.6606,33.4104,0.0064,0.0241,-0.0459,-0.0439,0.2,0.3563,0
2020-02-07,80.71,80.71,77.72,78.82,45217,-0.0491,-0.092,-0.126,39.3646,-0.043,-0.0356,-6.9421,0.0561,0.2899,122613.8,0.3688,-0.0013,-0.0264,-0.0694,0.0379,0.3679,39.5265,34.6606,0.0253,0.0064,-0.044,-0.0459,1.1442,0.2,0
2020-02-10,79.66,79.66,76.72,76.87,17811,-0.0662,-0.1105,-0.1464,36.2468,-0.0448,-0.0381,-8.2149,0.0559,0.2941,115316.45,0.1545,-0.0247,0.0293,-0.0821,0.0382,0.051,39.3646,39.5265,-0.0013,0.0253,-0.043,-0.044,0.3688,1.1442,0
2020-02-11,79.12,80.66,74.73,75.68,590081,-0.0735,-0.12,-0.1583,34.4534,-0.0468,-0.0404,-10.7547,0.0548,0.3041,139429.3,4.2321,-0.0155,-0.0105,-0.1075,0.0784,0.1602,36.2468,39.3646,-0.0247,-0.0013,-0.0448,-0.043,0.1545,0.3688,0
2020-02-12,76.72,77.17,72.24,73.24,82506,-0.0945,-0.1434,-0.1839,31.0601,-0.0515,-0.0437,-11.8652,0.057,0.3119,137641.0,0.5994,-0.0322,-0.0485,-0.1187,0.0673,0.2028,34.4534,36.2468,-0.0155,-0.0247,-0.0468,-0.0448,4.2321,0.1545,0
2020-02-13,78.12,78.12,69.75,71.14,83534,-0.1102,-0.1624,-0.2057,28.4619,-0.0573,-0.0474,-12.0751,0.0643,0.3152,138166.2,0.6046,-0.0287,-0.0986,-0.1208,0.1177,0.1661,31.0601,34.4534,-0.0322,-0.0155,-0.0515,-0.0468,0.5994,4.2321,1
2020-02-14,74.98,74.98,70.75,71.39,199356,-0.0979,-0.1542,-0.2013,29.221,-0.0596,-0.0497,-11.8207,0.0649,0.3038,143193.15,1.3922,0.0035,-0.0943,-0.1182,0.0593,0.1513,28.4619,31.0601,-0.0287,-0.0322,-0.0573,-0.0515,0.6046,0.5994,0
2020-02-17,70.94,71.24,67.76,68.25,97374,-0.1261,-0.1853,-0.2346,25.5535,-0.0672,-0.0551,-8.6101,0.0675,0.3255,145705.25,0.6683,-0.044,-0.1121,-0.0861,0.051,0.1408,29.221,28.4619,0.0035,-0.0287,-0.0596,-0.0573,1.3922,0.6046,0
2020-02-18,68.75,70.25,66.41,67.21,144451,-0.1279,-0.1914,-0.2444,24.4586,-0.0727,-0.0593,-12.1208,0.0679,0.3268,145907.5,0.99,-0.0152,-0.1119,-0.1212,0.0571,0.2083,25.5535,29.221,-0.044,0.0035,-0.0672,-0.0596,0.6683,1.3922,0
2020-02-19,68.45,68.65,66.56,67.21,112266,-0.1171,-0.1853,-0.2426,24.4586,-0.0753,-0.0625,-12.6803,0.0653,0.3475,123896.7,0.9061,0.0,-0.0823,-0.1268,0.0311,0.311,24.4586,25.5535,-0.0152,-0.044,-0.0727,-0.0672,0.99,0.6683,0
2020-02-20,69.1,76.72,66.81,67.11,846130,-0.1084,-0.1805,-0.2419,24.3422,-0.0767,-0.0654,-14.9645,0.0735,0.3562,152388.95,5.5524,-0.0015,-0.0566,-0.1496,0.1477,0.0303,24.4586,24.4586,0.0,-0.0152,-0.0753,-0.0727,0.9061,0.99,0
