Date,Open,High,Low,Close,Volume
2020-01-01,95.06,95.06,88.73,91.67,101472
2020-01-02,91.57,95.56,88.03,92.02,118110
2020-01-03,91.57,94.01,89.68,89.73,597016
2020-01-06,89.68,89.78,83.7,84.6,63666
2020-01-07,84.7,91.57,84.7,87.68,137244
2020-01-08,86.59,87.68,83.95,86.29,54726
2020-01-09,89.48,94.91,87.19,94.91,2309234
2020-01-10,97.15,98.89,90.97,92.47,530023
2020-01-13,93.91,93.96,91.67,92.02,163758
2020-01-14,92.22,93.17,88.28,89.28,107824
2020-01-15,90.62,93.41,88.93,92.22,118272
2020-01-16,93.66,94.06,91.72,92.82,73030
2020-01-17,94.11,94.11,89.23,91.37,98817
2020-01-20,91.87,91.87,88.73,89.23,47132
2020-01-21,91.07,93.66,88.93,89.98,140406
2020-01-22,84.0,84.7,81.91,82.65,552482
2020-01-23,83.2,87.19,82.7,84.15,276285
2020-01-24,83.95,86.34,83.65,84.7,76911
2020-01-27,84.3,86.69,83.2,83.75,46129
2020-01-28,84.65,87.68,84.3,84.8,91607
2020-01-29,84.89,86.34,81.86,83.1,43293
2020-01-30,84.65,84.65,80.16,80.91,57894
2020-01-31,82.25,82.55,80.26,80.96,30159
2020-02-03,78.52,79.71,73.93,74.68,173715
2020-02-04,74.93,78.52,74.93,76.48,90536
2020-02-05,76.52,78.52,75.88,76.97,50784
2020-02-06,80.76,83.7,77.72,78.92,168025
2020-02-07,80.71,80.71,77.72,78.82,45217
2020-02-10,79.66,79.66,76.72,76.87,17811
2020-02-11,79.12,80.66,74.73,75.68,590081
2020-02-12,76.72,77.17,72.24,73.24,82506
2020-02-13,78.12,78.12,69.75,71.14,83534
2020-02-14,74.98,74.98,70.75,71.39,199356
2020-02-17,70.94,71.24,67.76,68.25,97374
2020-02-18,68.75,70.25,66.41,67.21,144451
2020-02-19,68.45,68.65,66.56,67.21,112266
2020-02-20,69.1,76.72,66.81,67.11,846130
2020-02-24,67.21,67.56,63.47,63.97,90431
2020-02-25,64.82,66.51,60.03,60.38,180007
2020-02-26,60.38,60.38,56.25,56.9,225141
2020-02-27,56.9,58.29,52.31,52.91,213821
2020-02-28,52.31,52.31,44.84,46.18,497103
2020-03-02,48.77,50.77,48.28,50.77,107087
2020-03-03,52.76,55.8,51.32,52.91,168073
2020-03-04,54.6,55.4,49.82,51.07,70421
2020-03-05,49.82,51.81,48.97,49.42,58017
2020-03-06,48.82,48.82,45.39,45.84,273484
2020-03-09,45.84,45.84,41.25,41.65,202135
2020-03-11,44.64,45.79,41.35,45.79,90795
2020-03-12,43.84,43.84,41.25,42.5,98656
2020-03-13,41.85,46.33,38.26,44.64,107220
2020-03-16,44.64,44.64,40.45,41.3,70202
2020-03-17,42.85,45.14,38.36,40.06,82236
2020-03-18,41.15,43.24,36.97,37.32,81855
2020-03-19,37.27,37.27,34.18,36.07,75900
2020-03-20,36.07,39.66,35.22,37.47,94187
2020-03-23,35.27,37.76,33.73,34.08,104306
2020-03-24,35.77,35.77,30.94,32.03,93885
2020-03-25,32.18,32.28,30.59,31.49,72928
2020-03-26,32.08,33.03,30.99,32.08,198821
2020-03-27,31.89,33.68,30.99,31.89,114485
2020-03-30,33.18,33.18,30.44,31.34,66667
2020-03-31,32.33,32.33,30.64,31.79,33370
2020-04-01,30.99,32.13,30.39,31.39,63343
2020-04-03,32.08,32.73,30.59,31.54,161945
2020-04-07,32.38,33.08,30.89,33.08,79341
2020-04-08,34.68,34.68,31.99,33.28,80759
2020-04-09,34.82,34.92,32.28,34.92,48804
2020-04-13,36.67,36.67,36.07,36.67,44265
2020-04-15,38.46,38.46,38.46,38.46,5492
2020-04-16,40.35,40.35,40.35,40.35,12887
2020-04-17,42.35,42.35,42.35,42.35,125577
2020-04-20,44.44,44.44,42.7,44.44,269458
2020-04-21,44.59,46.63,42.25,42.5,532400
2020-04-22,40.4,40.4,40.4,40.4,30541
2020-04-23,38.41,38.41,38.41,38.41,63731
2020-04-24,36.87,36.87,36.52,36.52,25017
2020-04-27,34.73,38.31,34.73,38.21,236371
2020-04-28,40.11,40.11,36.87,38.06,44230
2020-04-29,37.86,39.96,36.87,37.81,41343
2020-04-30,37.66,39.66,36.87,37.32,81595
2020-05-04,39.16,39.16,35.87,36.12,177463
2020-05-05,36.87,37.42,34.87,35.47,43857
2020-05-06,35.62,36.17,33.73,34.18,53296
2020-05-07,34.18,35.87,33.73,35.67,90231
2020-05-08,36.87,36.87,34.68,35.32,96562
2020-05-11,35.87,36.37,34.08,34.53,135340
2020-05-12,34.87,35.87,32.93,33.58,109238
2020-05-13,34.87,34.87,32.88,34.13,111257
2020-05-14,34.13,35.82,32.88,33.88,254333
2020-05-15,34.28,34.28,32.18,32.68,223896
2020-05-18,33.18,33.18,31.09,31.59,203258
2020-05-19,31.59,31.89,30.04,30.24,130449
2020-05-20,31.14,31.24,28.8,29.2,126831
2020-05-21,30.34,30.59,28.85,29.59,386203
2020-05-22,30.49,31.04,29.64,31.04,209115
2020-05-26,32.08,32.58,30.49,31.39,73866
2020-05-27,32.78,32.93,30.89,32.63,289955
2020-05-28,33.53,33.58,31.19,32.58,83828
2020-05-29,33.18,33.68,31.69,32.93,146819
2020-06-01,33.88,33.93,32.98,33.68,363923
2020-06-02,34.82,35.32,33.38,35.32,340661
2020-06-03,36.87,37.07,36.42,37.07,54135
2020-06-04,38.61,38.91,37.56,38.91,581344
2020-06-05,40.65,42.8,39.46,42.8,166854
2020-06-08,47.03,47.03,47.03,47.03,164343
2020-06-09,51.71,51.71,47.03,51.71,415410
2020-06-10,54.25,54.25,49.17,54.11,1196278
2020-06-11,55.15,55.15,51.42,51.42,139089
2020-06-12,48.87,48.87,48.87,48.87,35809
2020-06-15,47.48,51.32,46.43,50.27,529482
2020-06-16,51.66,52.31,47.78,48.13,366942
2020-06-17,46.83,47.83,46.08,47.18,117307
2020-06-18,49.52,49.52,49.32,49.52,748544
2020-06-19,51.22,51.96,48.48,51.96,352880
2020-06-22,53.56,53.66,50.17,50.67,203718
2020-06-23,49.82,51.81,48.28,49.77,165640
2020-06-24,51.12,51.12,47.83,48.82,91368
2020-06-25,46.93,48.82,46.43,47.68,90682
2020-06-26,47.68,49.82,47.68,48.43,109381
2020-06-29,48.43,48.82,46.63,46.88,111595
2020-06-30,48.72,48.82,46.48,47.73,90221
2020-07-01,48.82,49.77,47.98,48.97,61533
2020-07-02,49.32,49.72,48.58,48.77,134588
2020-07-03,49.32,49.32,46.83,47.53,60757
2020-07-06,47.73,48.72,45.74,46.88,125919
2020-07-07,46.88,48.28,46.43,46.83,107248
2020-07-08,47.33,49.17,47.33,49.17,1330054
2020-07-09,51.61,51.61,50.82,51.61,1342998
2020-07-10,52.71,54.16,52.21,54.16,692625
2020-07-13,56.85,56.85,56.85,56.85,61702
2020-07-14,59.69,59.69,54.11,59.69,968399
2020-07-15,61.28,62.62,57.79,61.98,732951
2020-07-16,64.47,64.47,58.89,58.89,137133
2020-07-17,55.95,55.95,55.95,55.95,53016
2020-07-20,53.86,58.74,53.16,58.74,441730
2020-07-21,58.24,58.24,56.2,56.65,125239
2020-07-22,56.3,57.74,54.25,55.9,124252
2020-07-23,55.9,57.19,54.35,56.1,69125
2020-07-24,54.8,56.55,53.66,54.16,98076
2020-07-27,56.8,56.8,54.4,55.65,160912
2020-07-28,54.8,57.79,53.31,57.69,284440
2020-07-29,58.74,59.98,55.1,59.54,233077
2020-07-30,59.69,60.78,57.79,59.64,254952
2020-07-31,58.84,58.89,56.7,57.49,106670
2020-08-03,57.79,58.64,54.9,57.24,109486
2020-08-04,56.8,59.29,56.1,58.49,72929
2020-08-05,58.79,61.38,57.29,59.83,205670
2020-08-06,61.28,61.53,58.89,59.88,95509
2020-08-07,59.88,61.58,59.88,60.63,146842
2020-08-10,63.62,63.62,61.88,63.62,97731
2020-08-11,66.76,66.76,66.76,66.76,35069
2020-08-12,70.1,70.1,70.1,70.1,99754
2020-08-13,73.59,73.59,66.76,69.55,737931
2020-08-14,66.86,70.55,66.11,66.86,192983
2020-08-17,68.75,69.15,64.77,66.71,184470
2020-08-18,67.71,67.76,65.76,66.46,299823
2020-08-19,67.61,67.61,65.76,66.36,197776
2020-08-20,67.16,67.16,64.77,66.61,102012
2020-08-21,67.71,67.71,65.17,65.37,176091
2020-08-24,66.66,66.66,63.17,63.62,470916
2020-08-25,64.57,64.87,62.87,64.72,177506
2020-08-26,65.76,65.76,63.32,64.17,128598
2020-08-27,63.27,64.62,60.98,61.73,382763
2020-08-28,62.77,64.77,62.28,63.67,848935
2020-08-31,65.71,65.76,60.53,60.53,308248
2020-09-01,57.79,60.88,57.79,59.69,249541
2020-09-02,58.79,62.58,57.69,58.34,416241
2020-09-03,58.89,60.03,56.1,58.24,337911
2020-09-04,56.85,61.13,56.3,61.13,149926
2020-09-07,64.17,64.17,64.17,64.17,58603
2020-09-08,67.36,67.36,62.18,67.36,6689124
2020-09-09,70.7,70.7,66.76,70.7,1729760
2020-09-10,71.74,74.18,71.24,74.18,1000330
2020-09-11,77.12,77.87,70.5,72.79,2502481
2020-09-14,73.73,76.43,73.73,76.43,257494
2020-09-15,80.21,80.21,80.21,80.21,73253
2020-09-16,84.2,84.2,78.32,84.15,3163365
2020-09-17,83.6,85.69,79.96,80.21,884843
2020-09-18,80.31,84.2,78.87,79.66,813493
2020-09-21,80.71,82.4,75.73,75.73,468259
2020-09-22,73.73,74.48,71.94,71.94,481688
2020-09-23,72.69,74.23,68.35,70.94,815222
2020-09-24,68.06,71.34,67.41,67.96,303506
2020-09-25,68.3,71.34,68.3,71.34,358771
2020-09-28,74.88,74.88,71.54,72.34,1010113
2020-09-29,74.73,75.93,71.99,75.23,808399
2020-09-30,74.08,74.13,72.09,72.64,212482
2020-10-01,73.64,75.73,70.75,71.59,205046
2020-10-05,72.89,75.13,71.89,74.58,704652
2020-10-06,74.48,78.27,72.24,77.57,555408
2020-10-07,78.62,81.11,75.23,77.92,750828
2020-10-08,79.61,81.36,76.82,78.27,539704
2020-10-09,77.22,79.12,74.48,74.98,260863
2020-10-12,75.73,76.52,71.99,72.59,188367
2020-10-13,73.34,74.68,70.99,71.44,136647
2020-10-14,71.49,73.19,69.0,69.7,150433
2020-10-15,70.45,71.84,67.66,68.3,175015
2020-10-16,68.75,72.29,68.65,71.59,120510
2020-10-19,73.24,78.72,72.14,78.22,503543
2020-10-20,78.72,82.35,76.13,78.57,803809
2020-10-21,79.61,86.39,78.82,84.35,1971021
2020-10-22,87.68,91.67,81.91,88.28,2316200
2020-10-23,89.48,92.67,85.84,92.67,1614761
2020-10-26,93.66,97.3,88.68,90.47,1534383
2020-10-27,91.42,93.86,85.99,92.27,595071
2020-10-28,92.72,94.91,88.98,89.88,543635
2020-10-29,89.58,92.17,85.74,89.48,413176
2020-10-30,90.67,92.67,88.68,89.53,847790
2020-11-02,90.18,92.22,88.98,90.67,484451
2020-11-03,91.67,92.57,88.43,88.68,307110
2020-11-04,89.68,90.33,86.09,87.04,220721
2020-11-05,88.88,91.37,87.88,91.32,712890
2020-11-06,89.48,94.76,88.88,90.57,642120
2020-11-09,87.93,92.12,87.93,90.47,439140
2020-11-10,90.47,92.67,89.23,89.58,280743
2020-11-11,89.88,93.17,86.84,91.22,1051045
2020-11-12,91.57,92.57,88.88,89.98,803878
2020-11-13,89.93,92.17,89.23,90.38,248274
2020-11-14,91.37,94.86,90.67,94.41,584572
2020-11-17,96.65,99.09,95.66,99.09,1909885
2020-11-18,101.44,104.03,99.79,104.03,749693
2020-11-19,107.46,109.21,104.67,107.81,1523105
2020-11-20,108.01,110.6,102.43,103.18,1448619
2020-11-23,104.62,108.31,101.73,105.82,850754
2020-11-24,105.67,107.51,103.63,104.57,353786
2020-11-25,105.62,106.32,99.39,100.79,709171
2020-11-26,102.13,105.32,96.25,102.53,616104
2020-11-27,103.43,104.28,100.89,102.48,556807
2020-12-01,102.63,107.56,101.14,107.56,591343
2020-12-02,108.31,112.89,108.26,112.89,668242
2020-12-03,116.98,118.52,112.6,118.52,648911
2020-12-04,124.4,124.4,114.69,124.4,2305094
2020-12-07,128.34,130.58,120.47,130.58,1552581
2020-12-08,133.22,137.11,128.54,137.11,1310204
2020-12-09,139.1,143.93,134.52,143.93,431456
2020-12-10,151.11,151.11,139.65,150.01,2113872
2020-12-11,151.31,155.44,142.54,142.54,1003494
2020-12-14,137.51,143.19,135.41,135.41,949964
2020-12-15,131.73,132.52,128.69,128.69,377496
2020-12-16,124.05,135.11,124.05,135.11,880115
2020-12-17,139.3,141.84,135.56,139.0,1170237
2020-12-18,140.4,141.29,132.52,135.86,578875
2020-12-21,134.07,138.2,129.09,129.09,521522
2020-12-22,122.66,127.54,122.66,122.66,271135
2020-12-23,122.66,128.79,122.66,128.44,984085
2020-12-24,128.54,133.47,127.54,129.48,775481
2020-12-28,132.47,132.47,126.05,126.79,424083
